年,週別,values
2004,47,1
2004,48,2
2004,50,1
2004,51,2
2004,53,2
2005,4,1
2005,6,3
2005,7,1
2005,11,1
2005,12,4
2005,14,1
2005,15,2
2005,16,1
2005,17,4
2005,19,3
2005,20,4
2005,21,1
2005,22,7
2005,23,1
2005,24,4
2005,25,4
2005,26,2
2005,28,4
2005,34,2
2005,35,3
2005,36,2
2005,37,1
2005,39,2
2005,40,1
2005,42,4
2005,48,1
2006,2,1
2006,7,1
2006,8,1
2006,10,2
2006,11,1
2006,13,1
2006,16,1
2006,17,4
2006,19,1
2006,20,2
2006,22,2
2006,23,1
2006,24,1
2006,31,1
2006,32,1
2006,35,3
2006,37,3
2006,43,1
2007,1,2
2007,3,2
2007,4,1
2007,5,1
2007,6,1
2007,15,1
2007,17,1
2007,18,2
2007,19,2
2007,20,2
2007,21,3
2007,22,2
2007,25,2
2007,28,1
2007,31,2
2007,32,1
2007,33,1
2007,34,1
2007,37,1
2007,38,2
2007,39,1
2007,40,1
2007,41,4
2007,42,6
2007,43,1
2007,44,2
2007,47,1
2007,48,1
2007,49,1
2008,1,1
2008,2,2
2008,3,5
2008,4,1
2008,5,2
2008,6,2
2008,7,2
2008,8,4
2008,9,2
2008,10,2
2008,11,2
2008,12,2
2008,13,5
2008,14,4
2008,15,1
2008,16,3
2008,17,1
2008,18,2
2008,19,8
2008,20,3
2008,21,5
2008,22,4
2008,23,3
2008,24,11
2008,25,17
2008,26,23
2008,27,14
2008,28,11
2008,29,5
2008,30,5
2008,31,2
2008,32,3
2008,33,2
2008,34,5
2008,35,5
2008,36,1
2008,37,2
2008,38,1
2008,39,2
2008,40,1
2008,41,1
2008,42,1
2008,43,1
2008,45,1
2008,46,1
2008,47,2
2008,49,1
2008,50,1
2008,51,1
2009,1,1
2009,2,1
2009,3,3
2009,4,2
2009,6,2
2009,8,2
2009,9,2
2009,10,1
2009,11,2
2009,13,4
2009,14,1
2009,15,1
2009,16,4
2009,17,2
2009,18,3
2009,19,2
2009,20,4
2009,21,3
2009,22,1
2009,24,3
2009,25,2
2009,26,1
2009,27,2
2009,28,2
2009,30,3
2009,33,3
2009,34,3
2009,36,2
2009,37,1
2009,38,1
2009,40,1
2009,50,1
2010,8,1
2010,9,1
2010,11,2
2010,12,1
2010,13,2
2010,14,1
2010,15,1
2010,16,4
2010,17,1
2010,18,2
2010,20,2
2010,21,2
2010,22,4
2010,23,1
2010,24,3
2010,25,1
2010,26,6
2010,27,2
2010,28,3
2010,30,2
2010,31,2
2010,34,2
2010,35,4
2010,36,1
2010,39,1
2010,40,1
2010,41,1
2010,42,1
2010,43,3
2010,44,2
2010,49,1
2010,50,2
2010,51,1
2010,52,1
2011,3,2
2011,12,1
2011,13,1
2011,17,1
2011,19,1
2011,20,5
2011,24,1
2011,25,2
2011,28,3
2011,29,4
2011,30,1
2011,31,3
2011,33,2
2011,34,1
2011,35,1
2011,36,6
2011,37,5
2011,39,5
2011,40,3
2011,41,1
2011,42,1
2011,44,3
2011,45,2
2011,46,5
2011,47,3
2011,48,2
2011,49,1
2011,50,3
2011,51,1
2012,1,2
2012,2,1
2012,3,5
2012,5,6
2012,6,6
2012,7,5
2012,8,2
2012,9,1
2012,10,2
2012,11,1
2012,12,2
2012,13,4
2012,14,1
2012,15,7
2012,16,3
2012,17,4
2012,18,1
2012,19,5
2012,20,4
2012,21,2
2012,22,3
2012,23,3
2012,24,5
2012,25,5
2012,26,3
2012,27,1
2012,28,2
2012,29,2
2012,30,2
2012,31,2
2012,32,2
2012,33,2
2012,34,2
2012,35,3
2012,36,3
2012,38,1
2012,40,1
2012,41,1
2012,43,1
2012,45,2
2012,48,3
2012,49,1
2012,50,2
2013,1,1
2013,5,1
2013,6,2
2013,9,1
2013,10,1
2013,11,1
2013,12,1
2013,13,1
2013,16,1
2013,17,1
2013,18,3
2013,19,2
2013,20,7
2013,21,2
2013,22,3
2013,23,4
2013,24,4
2013,25,4
2013,29,9
2013,30,3
2013,31,5
2013,32,1
2013,33,2
2013,35,3
2013,36,3
2013,39,1
2013,40,1
2013,42,1
2013,44,2
2013,47,4
2013,51,1
2013,52,3
2014,2,3
2014,4,1
2014,6,1
2014,7,1
2014,8,1
2014,9,2
2014,10,2
2014,12,1
2014,13,2
2014,15,1
2014,16,4
2014,17,2
2014,18,7
2014,19,2
2014,20,4
2014,21,4
2014,22,3
2014,23,2
2014,24,3
2014,25,2
2014,26,4
2014,27,2
2014,28,2
2014,29,1
2014,30,4
2014,32,2
2014,33,1
2014,34,2
2014,35,1
2014,36,2
2014,38,3
2014,39,1
2014,40,3
2014,41,2
2014,43,3
2014,44,1
2014,49,1
2014,50,1
2014,51,2
2014,52,1
2015,8,1
2015,9,2
2015,11,1
2015,13,1
2015,14,2
2015,15,1
2015,16,3
2015,18,4
2015,19,1
2015,20,3
2015,21,2
2015,22,1
2015,23,4
2015,24,8
2015,25,6
2015,26,4
2015,29,3
2015,30,1
2015,31,1
2015,33,2
2015,35,1
2015,36,2
2015,40,1
2015,41,1
2015,42,2
2015,43,3
2015,44,3
2015,46,2
2015,47,1
2015,49,1
2015,51,5
2015,52,1
2016,1,2
2016,2,4
2016,3,2
2016,4,2
2016,6,2
2016,7,2
2016,8,2
2016,10,4
2016,11,22
2016,12,6
2016,13,18
2016,14,15
2016,15,19
2016,16,17
2016,17,16
2016,18,17
2016,19,11
2016,20,19
2016,21,4
2016,22,11
2016,23,5
2016,24,7
2016,25,12
2016,26,6
2016,27,5
2016,28,2
2016,29,2
2016,30,2
2016,33,2
2016,34,6
2016,35,6
2016,36,3
2016,38,2
2016,39,1
2016,40,1
2016,41,2
2016,43,6
2016,44,2
2016,46,1
2016,47,1
2016,48,1
2016,49,2
2016,50,2
2016,52,4
2017,1,2
2017,3,2
2017,4,2
2017,5,4
2017,7,1
2017,8,1
2017,9,5
2017,10,2
2017,11,3
2017,13,1
2017,14,4
2017,16,2
2017,18,1
2017,19,1
2017,20,2
2017,21,1
2017,24,2
2017,25,3
2017,26,13
2017,27,2
2017,28,4
2017,29,4
2017,30,4
2017,31,3
2017,32,5
2017,33,1
2017,34,1
2017,35,6
2017,36,3
2017,37,4
2017,38,4
2017,39,1
2017,40,2
2017,41,2
2017,42,3
2017,43,7
2017,44,2
2017,45,1
2017,46,2
2017,47,1
2017,48,2
2017,49,1
2017,50,1
2017,51,5
2017,52,4
2018,1,2
2018,2,5
2018,3,1
2018,4,1
2018,7,5
2018,9,2
2018,10,4
2018,11,2
2018,12,3
2018,13,2
2018,15,1
2018,16,3
2018,17,1
2018,18,3
2018,19,1
2018,20,2
2018,21,5
2018,22,2
2018,23,2
2018,24,6
2018,25,1
2018,26,4
2018,27,6
2018,28,3
2018,29,3
2018,30,1
2018,31,5
2018,32,4
2018,33,6
2018,34,2
2018,35,5
2018,36,2
2018,37,3
2018,38,2
2018,39,2
2018,40,3
2018,41,2
2018,42,4
2018,43,1
2018,46,1
2018,47,1
